,SongID,Title,Duration,ArtistID,KeySignature,Tempo,TimeSignature,Loudness,Mode,Artist_Familiarity,Artist_Terms,Danceability,Song_Hotness,Artist_Hotness,Track_ID,Year,clean_term,ArtistLatitude,ArtistLongitude
0,SOBBQDL12A58A7A988,"100 Club 1996 ''We Love You Beatles'' - Live""""",88.73751,ARD3LXU1187B9ABFC5,2,190.333,5,-11.229,0,0.7311842304128983,9.0,0.0,,0.5492043838770254,TRBGJCT128F933A606,1977,rock,51.5073219,-0.1276474
2,SOBBQDL12A58A7A988,"100 Club 1996 ''We Love You Beatles'' - Live""""",88.73751,ARD3LXU1187B9ABFC5,2,190.333,5,-11.229,0,0.7311842304128983,9.0,0.0,,0.5492043838770254,TRBGJCT128F933A606,1978,rock,51.5073219,-0.1276474
4,SOBBQDL12A58A7A988,"100 Club 1996 ''We Love You Beatles'' - Live""""",88.73751,ARD3LXU1187B9ABFC5,2,190.333,5,-11.229,0,0.7311842304128983,9.0,0.0,,0.5492043838770254,TRBGJCT128F933A606,1979,rock,51.5073219,-0.1276474
6,SOTCLHP12AB0180336,Looking For A Kiss,190.74567,ARD3LXU1187B9ABFC5,4,133.6,1,-6.617,1,0.7311842304128983,9.0,0.0,,0.5492043838770254,TRBGUSS128F92F94BB,1977,rock,51.5073219,-0.1276474
8,SOTCLHP12AB0180336,Looking For A Kiss,190.74567,ARD3LXU1187B9ABFC5,4,133.6,1,-6.617,1,0.7311842304128983,9.0,0.0,,0.5492043838770254,TRBGUSS128F92F94BB,1978,rock,51.5073219,-0.1276474
10,SOTCLHP12AB0180336,Looking For A Kiss,190.74567,ARD3LXU1187B9ABFC5,4,133.6,1,-6.617,1,0.7311842304128983,9.0,0.0,,0.5492043838770254,TRBGUSS128F92F94BB,1979,rock,51.5073219,-0.1276474
12,SOLQETH12AB0181E42,My Way (Alternate Studio Version),176.5873,ARD3LXU1187B9ABFC5,11,89.607,1,-8.016,1,0.7311842304128983,9.0,0.0,,0.5492043838770254,TRBIHKE128F9309555,1977,rock,51.5073219,-0.1276474
14,SOLQETH12AB0181E42,My Way (Alternate Studio Version),176.5873,ARD3LXU1187B9ABFC5,11,89.607,1,-8.016,1,0.7311842304128983,9.0,0.0,,0.5492043838770254,TRBIHKE128F9309555,1978,rock,51.5073219,-0.1276474
16,SOLQETH12AB0181E42,My Way (Alternate Studio Version),176.5873,ARD3LXU1187B9ABFC5,11,89.607,1,-8.016,1,0.7311842304128983,9.0,0.0,,0.5492043838770254,TRBIHKE128F9309555,1979,rock,51.5073219,-0.1276474
18,SOESQNH12A58A79AC3,Pretty Vacant,194.58567,ARD3LXU1187B9ABFC5,2,144.573,4,-6.758,1,0.7311842304128983,9.0,0.0,0.7981136570635993,0.5492043838770254,TRALPXC128E07819A8,1977,rock,51.5073219,-0.1276474
20,SOESQNH12A58A79AC3,Pretty Vacant,194.58567,ARD3LXU1187B9ABFC5,2,144.573,4,-6.758,1,0.7311842304128983,9.0,0.0,0.7981136570635993,0.5492043838770254,TRALPXC128E07819A8,1978,rock,51.5073219,-0.1276474
22,SOESQNH12A58A79AC3,Pretty Vacant,194.58567,ARD3LXU1187B9ABFC5,2,144.573,4,-6.758,1,0.7311842304128983,9.0,0.0,0.7981136570635993,0.5492043838770254,TRALPXC128E07819A8,1979,rock,51.5073219,-0.1276474
24,SOBSEGK12A58A7BEBF,Seventeen,129.93261,ARD3LXU1187B9ABFC5,8,129.722,1,-6.458,1,0.7311842304128983,9.0,0.0,0.7048527132188785,0.5492043838770254,TRALSXX128F92F94B0,1977,rock,51.5073219,-0.1276474
26,SOBSEGK12A58A7BEBF,Seventeen,129.93261,ARD3LXU1187B9ABFC5,8,129.722,1,-6.458,1,0.7311842304128983,9.0,0.0,0.7048527132188785,0.5492043838770254,TRALSXX128F92F94B0,1978,rock,51.5073219,-0.1276474
